Country,Player Names,Matches_Played,Mins,Goals,Year
Brazil,Matheus Babi,17,1709,6,2020
Brazil,Nene ,18,1434,7,2020
Brazil,Bruno Henrique,15,1412,5,2020
Brazil,Thiago Galhardo,16,1605,15,2020
Brazil,Keno ,19,1829,10,2020
Brazil,Alerrandro ,10,861,5,2020
Brazil,Wellington Paulista,13,1208,6,2020
Brazil,Claudinho ,19,1657,10,2020
Brazil,Robson,22,1937,6,2020
Brazil,Pedro ,12,1207,10,2020
Brazil,Renato Kayzer,17,1639,7,2020
 Netherlands,Donny van de Beek,22,2023,8,2020
 Netherlands,Teun Koopmeiners,25,2336,11,2020
 Netherlands,Cantalapiedra ,21,1933,7,2020
 Netherlands,Bryan Linssen,25,2256,14,2020
 Netherlands,Matavz ,24,2157,12,2020
 Netherlands,Oussama Idrissi,25,2047,13,2020
 Netherlands,Dusan Tadic,25,2287,11,2020
 Netherlands,Steven Berghuis,24,2226,15,2020
 Netherlands,Chidera Ejuke,24,2147,9,2020
 Netherlands,Myron Boadu,24,2099,14,2020
 Netherlands,Klaas-Jan Huntelaar,6,938,9,2020
 Netherlands,Vangelis Pavlidis,25,2265,11,2020
 Netherlands,Michael de Leeuw,26,2383,9,2020
 Netherlands,Donyell Malen,14,1245,11,2020
 Netherlands,Haris Vuckic,23,2194,11,2020
 Netherlands,Gyrano Kerk,24,2155,10,2020
 Netherlands,Quincy Promes,18,1573,12,2020
 Netherlands,Denzel Dumfries,25,2363,7,2020
 Netherlands,Cyriel Dessers ,26,2461,15,2020
 Netherlands,Cody Gakpo,14,1557,7,2020
